DATE,EUR
6/3/1998,275.7
13/3/1998,273.2
20/3/1998,273.7
27/3/1998,281.9
3/4/1998,288.6
10/4/1998,285.6
17/4/1998,284.8
24/4/1998,287.2
1/5/1998,278.8
8/5/1998,271.4
15/5/1998,273.7
22/5/1998,269.1
29/5/1998,267.3
5/6/1998,263.1
12/6/1998,265.4
19/6/1998,271.0
26/6/1998,271.3
3/7/1998,273.5
10/7/1998,269.8
17/7/1998,268.3
24/7/1998,267.7
31/7/1998,262.4
7/8/1998,258.6
14/8/1998,261.0
21/8/1998,260.9
28/8/1998,248.3
4/9/1998,252.6
11/9/1998,253.1
18/9/1998,250.8
25/9/1998,254.6
2/10/1998,251.6
9/10/1998,249.4
16/10/1998,247.2
23/10/1998,244.3
30/10/1998,247.5
6/11/1998,249.2
13/11/1998,256.6
20/11/1998,255.2
27/11/1998,258.7
4/12/1998,250.4
11/12/1998,245.9
18/12/1998,248.1
25/12/1998,245.5
1/1/1999,245.1
8/1/1999,251.8
15/1/1999,246.7
22/1/1999,247.8
29/1/1999,251.3
5/2/1999,256.4
12/2/1999,256.4
19/2/1999,258.1
26/2/1999,261.5
5/3/1999,265.3
12/3/1999,267.3
19/3/1999,259.7
26/3/1999,260.7
2/4/1999,260.1
9/4/1999,260.4
16/4/1999,265.5
23/4/1999,266.1
30/4/1999,270.9
7/5/1999,261.8
14/5/1999,257.9
21/5/1999,258.9
28/5/1999,256.9
4/6/1999,257.5
11/6/1999,247.5
18/6/1999,249.3
25/6/1999,249.1
2/7/1999,257.4
9/7/1999,252.5
16/7/1999,250.2
23/7/1999,243.9
30/7/1999,238.8
6/8/1999,237.2
13/8/1999,246.5
20/8/1999,242.5
27/8/1999,242.8
3/9/1999,239.9
10/9/1999,244.5
17/9/1999,245.2
24/9/1999,258.0
1/10/1999,287.4
8/10/1999,304.2
15/10/1999,290.1
22/10/1999,282.8
29/10/1999,284.6
5/11/1999,278.2
12/11/1999,282.3
19/11/1999,285.4
26/11/1999,293.4
3/12/1999,282.4
10/12/1999,276.1
17/12/1999,281.5
24/12/1999,282.9
31/12/1999,289.6
7/1/2000,274.2
14/1/2000,279.8
21/1/2000,285.8
28/1/2000,292.6
4/2/2000,299.7
11/2/2000,316.1
18/2/2000,308.1
25/2/2000,300.4
3/3/2000,300.0
10/3/2000,300.9
17/3/2000,293.2
24/3/2000,293.2
31/3/2000,289.2
7/4/2000,292.3
14/4/2000,295.0
21/4/2000,297.9
28/4/2000,301.8
5/5/2000,314.5
12/5/2000,305.1
19/5/2000,306.0
26/5/2000,293.0
2/6/2000,298.2
9/6/2000,299.1
16/6/2000,301.9
23/6/2000,305.2
30/6/2000,300.6
7/7/2000,298.0
14/7/2000,299.0
21/7/2000,299.5
28/7/2000,300.0
4/8/2000,301.5
11/8/2000,301.4
18/8/2000,303.3
25/8/2000,302.4
1/9/2000,307.8
8/9/2000,314.8
15/9/2000,315.8
22/9/2000,310.7
29/9/2000,310.1
6/10/2000,310.5
13/10/2000,317.9
20/10/2000,322.9
27/10/2000,313.0
3/11/2000,306.5
10/11/2000,306.7
17/11/2000,311.1
24/11/2000,316.2
1/12/2000,308.4
8/12/2000,307.3
15/12/2000,301.2
22/12/2000,295.7
29/12/2000,292.3
5/1/2001,281.0
12/1/2001,277.9
19/1/2001,283.3
26/1/2001,285.9
2/2/2001,285.7
9/2/2001,281.2
16/2/2001,281.1
23/2/2001,286.7
2/3/2001,281.2
9/3/2001,289.5
16/3/2001,290.7
23/3/2001,294.3
30/3/2001,291.5
6/4/2001,287.1
13/4/2001,290.2
20/4/2001,292.8
27/4/2001,296.4
4/5/2001,297.8
11/5/2001,307.1
18/5/2001,311.3
25/5/2001,322.4
1/6/2001,313.5
8/6/2001,314.7
15/6/2001,315.7
22/6/2001,319.9
29/6/2001,319.6
6/7/2001,313.9
13/7/2001,312.7
20/7/2001,309.0
27/7/2001,304.7
3/8/2001,302.4
10/8/2001,308.0
17/8/2001,302.7
24/8/2001,298.8
31/8/2001,300.5
7/9/2001,302.9
14/9/2001,310.4
21/9/2001,319.3
28/9/2001,321.8
5/10/2001,316.9
12/10/2001,311.1
19/10/2001,311.1
26/10/2001,310.7
2/11/2001,309.6
9/11/2001,310.2
16/11/2001,310.1
23/11/2001,311.5
30/11/2001,307.7
7/12/2001,307.7
14/12/2001,306.9
21/12/2001,312.9
28/12/2001,313.6
4/1/2002,310.4
11/1/2002,320.8
18/1/2002,320.5
25/1/2002,322.7
